Player,Points
Keria,1300
Clozer,1000
Oner,1000
Chovy,800
ShowMaker,800
Viper,800
Canyon,700
Faker,700
Kiin,700
Peanut,700
Zeka,700
Aiming,600
Bdd,600
BuLLDoG,600
Peyz,600
Clid,500
Doran,500
DuDu,500
Lehends,500
Canna,400
Cuzz,400
Deft,400
Delight,400
Envyy,400
Kingen,400
Morgan,400
UmTi,400
Willer,400
Youngjae,400
Croco,300
DnDn,300
FATE,300
Gumayusi,300
Kael,300
Karis,300
Kellin,300
Rascal,300
Burdol,200
Hena,200
Juhan,200
Sylvie,200
Taeyoon,200
Zeus,200
Callme,100
FIESTA,100
Peter,100
Pleata,100
vital,100